username,password,customer_id,account_id,to_account_id,account_type,module
testuser001,Password123,20001,61001,61002,0,OPENACCOUNT
testuser002,Password123,20002,61002,61003,0,OPENACCOUNT
testuser003,Password123,20003,61003,61004,0,OPENACCOUNT
testuser004,Password123,20004,61004,61005,0,OPENACCOUNT
testuser005,Password123,20005,61005,61006,0,OPENACCOUNT
testuser006,Password123,20006,61006,61007,0,OPENACCOUNT
testuser007,Password123,20007,61007,61008,0,OPENACCOUNT
testuser008,Password123,20008,61008,61009,0,OPENACCOUNT
testuser009,Password123,20009,61009,61010,0,OPENACCOUNT
testuser010,Password123,20010,61010,61011,0,OPENACCOUNT
testuser011,Password123,20011,61011,61012,0,OPENACCOUNT
testuser012,Password123,20012,61012,61013,0,OPENACCOUNT
testuser013,Password123,20013,61013,61014,0,OPENACCOUNT
testuser014,Password123,20014,61014,61015,0,OPENACCOUNT
testuser015,Password123,20015,61015,61016,0,OPENACCOUNT
testuser016,Password123,20016,61016,61017,0,OPENACCOUNT
testuser017,Password123,20017,61017,61018,0,OPENACCOUNT
testuser018,Password123,20018,61018,61019,0,OPENACCOUNT
testuser019,Password123,20019,61019,61020,0,OPENACCOUNT
testuser020,Password123,20020,61020,61021,0,OPENACCOUNT
testuser021,Password123,20021,61021,61022,0,BILLPAY
testuser022,Password123,20022,61022,61023,0,BILLPAY
testuser023,Password123,20023,61023,61024,0,BILLPAY
testuser024,Password123,20024,61024,61025,0,BILLPAY
testuser025,Password123,20025,61025,61026,0,BILLPAY
testuser026,Password123,20026,61026,61027,0,BILLPAY
testuser027,Password123,20027,61027,61028,0,BILLPAY
testuser028,Password123,20028,61028,61029,0,BILLPAY
testuser029,Password123,20029,61029,61030,0,BILLPAY
testuser030,Password123,20030,61030,61031,0,BILLPAY
testuser031,Password123,20031,61031,61032,0,BILLPAY
testuser032,Password123,20032,61032,61033,0,BILLPAY
testuser033,Password123,20033,61033,61034,0,BILLPAY
testuser034,Password123,20034,61034,61035,0,BILLPAY
testuser035,Password123,20035,61035,61036,0,BILLPAY
testuser036,Password123,20036,61036,61037,0,BILLPAY
testuser037,Password123,20037,61037,61038,0,BILLPAY
testuser038,Password123,20038,61038,61039,0,BILLPAY
testuser039,Password123,20039,61039,61040,0,BILLPAY
testuser040,Password123,20040,61040,61041,0,BILLPAY
testuser041,Password123,20041,61041,61042,0,BILLPAY
testuser042,Password123,20042,61042,61043,0,BILLPAY
testuser043,Password123,20043,61043,61044,0,BILLPAY
testuser044,Password123,20044,61044,61045,0,BILLPAY
testuser045,Password123,20045,61045,61046,0,BILLPAY
testuser046,Password123,20046,61046,61047,0,TRANSFER
testuser047,Password123,20047,61047,61048,0,TRANSFER
testuser048,Password123,20048,61048,61049,0,TRANSFER
testuser049,Password123,20049,61049,61050,0,TRANSFER
testuser050,Password123,20050,61050,61051,0,TRANSFER
testuser051,Password123,20051,61051,61052,1,TRANSFER
testuser052,Password123,20052,61052,61053,1,TRANSFER
testuser053,Password123,20053,61053,61054,1,TRANSFER
testuser054,Password123,20054,61054,61055,1,TRANSFER
testuser055,Password123,20055,61055,61056,1,TRANSFER
testuser056,Password123,20056,61056,61057,1,TRANSFER
testuser057,Password123,20057,61057,61058,1,TRANSFER
testuser058,Password123,20058,61058,61059,1,TRANSFER
testuser059,Password123,20059,61059,61060,1,TRANSFER
testuser060,Password123,20060,61060,61061,1,TRANSFER
testuser061,Password123,20061,61061,61062,1,TRANSFER
testuser062,Password123,20062,61062,61063,1,TRANSFER
testuser063,Password123,20063,61063,61064,1,TRANSFER
testuser064,Password123,20064,61064,61065,1,TRANSFER
testuser065,Password123,20065,61065,61066,1,TRANSFER
testuser066,Password123,20066,61066,61067,1,LOAN
testuser067,Password123,20067,61067,61068,1,LOAN
testuser068,Password123,20068,61068,61069,1,LOAN
testuser069,Password123,20069,61069,61070,1,LOAN
testuser070,Password123,20070,61070,61071,1,LOAN
testuser071,Password123,20071,61071,61072,1,LOAN
testuser072,Password123,20072,61072,61073,1,LOAN
testuser073,Password123,20073,61073,61074,1,LOAN
testuser074,Password123,20074,61074,61075,1,LOAN
testuser075,Password123,20075,61075,61076,1,LOAN
testuser076,Password123,20076,61076,61077,1,LOAN
testuser077,Password123,20077,61077,61078,1,LOAN
testuser078,Password123,20078,61078,61079,1,LOAN
testuser079,Password123,20079,61079,61080,1,LOAN
testuser080,Password123,20080,61080,61081,1,LOAN
testuser081,Password123,20081,61081,61082,1,LOAN
testuser082,Password123,20082,61082,61083,1,LOAN
testuser083,Password123,20083,61083,61084,1,LOAN
testuser084,Password123,20084,61084,61085,1,LOAN
testuser085,Password123,20085,61085,61086,1,LOAN
testuser086,Password123,20086,61086,61087,1,PROFILE
testuser087,Password123,20087,61087,61088,1,PROFILE
testuser088,Password123,20088,61088,61089,1,PROFILE
testuser089,Password123,20089,61089,61090,1,PROFILE
testuser090,Password123,20090,61090,61091,1,PROFILE
testuser091,Password123,20091,61091,61092,1,PROFILE
testuser092,Password123,20092,61092,61093,1,PROFILE
testuser093,Password123,20093,61093,61094,1,PROFILE
testuser094,Password123,20094,61094,61095,1,PROFILE
testuser095,Password123,20095,61095,61096,1,PROFILE
testuser096,Password123,20096,61096,61097,1,PROFILE
testuser097,Password123,20097,61097,61098,1,PROFILE
testuser098,Password123,20098,61098,61099,1,PROFILE
testuser099,Password123,20099,61099,61100,1,PROFILE
testuser100,Password123,20100,61100,61001,1,PROFILE
